"q24g.I.suggest.ideas.to.improve.our.way.of.doing.things","Coaching","Transformation","Consideration"
1,-0.541954119249243,3.35161472061562,-0.738655881594629
2,-1.26514510080942,-0.588886921879462,1.76500999380706
2,0.175513262446002,0.124262381269014,-0.105670767619607
2,-0.83209682901748,-1.16690200914588,0.196331823760139
2,-1.67060944284019,0.697685776548936,0.701785918931114
2,-1.12390568672677,0.0442955462085317,-0.238365534922178
2,0.249188192043025,-0.276701521919714,-0.549729303998923
2,1.83517600951266,0.62374385025356,-1.85731243119442
1,-0.854253079382831,-0.562620494205776,-0.165898914570233
2,1.50532533758956,-0.1910623190909,-0.459588039089141
1,-1.22145997807166,-1.12825086933098,0.465846078647771
3,-0.0569958067934974,-0.949861226863328,2.15045420495976
2,-1.01304623683817,0.809877316022145,0.846612292044893
5,3.44291033632215,0.85268130687834,-1.55992608020729
2,0.292666685581959,-0.206615124556705,-0.737506080191867
2,-0.695647047210892,0.927571493554296,0.301159664667176
1,-1.02348566411528,-1.16050472812493,0.343137962299452
2,-1.12636806990175,-0.362430177416668,0.62227623756438
2,1.30814618726159,-0.210495023584053,-1.85597937197194
2,-0.563148267958921,-0.526851937616029,0.855798546958651
2,2.42423778371215,-1.68083537008677,0.452674340191162
2,-1.05285902034788,-1.69355361446509,2.2685009383998
1,-1.23305425240794,-1.10876535412544,0.419457920099981
2,-0.940196580184511,-0.445548406635189,1.09539928047565
1,-0.897923310440905,-0.310360035395199,-0.254547415419882
2,-0.564287707837095,-0.236852326948022,0.417108627108143
2,0.720910769414722,-0.19976696181762,-1.5545834995021
2,2.79059471366783,-2.5846754440515,-0.788830927255692
2,-0.596906901442907,0.37968199444754,0.881343585166403
1,0.711697194439117,0.126349109165711,-0.820986007391345
2,2.89498394184773,-0.556730474185287,-3.00340001955107
3,-0.749171748092744,0.890281642971598,0.447172203550085
1,0.253250138330934,1.85252931508718,-2.0128048953084
2,-0.101633513653643,-0.755418466569497,0.237904959162104
